[2018-06-18 11:04:07,646]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-18 11:04:10,373]-[log.py]-INFO:成功选择简体中文
[2018-06-18 11:04:14,551]-[log.py]-INFO:输入用户名
[2018-06-18 11:04:15,037]-[log.py]-INFO:输入密码
[2018-06-18 11:04:15,350]-[log.py]-INFO:点击“保持登录”
[2018-06-18 11:04:15,786]-[log.py]-INFO:点击“登录”按钮
[2018-06-18 11:04:23,160]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-18 11:04:27,099]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-18 11:04:27,625]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-18 11:04:30,860]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-18 11:04:36,255]-[log.py]-INFO:输入“用户名”
[2018-06-18 11:04:37,042]-[log.py]-INFO:输入“真实姓名”
[2018-06-18 11:04:37,524]-[log.py]-INFO:性别选择“女”
[2018-06-18 11:04:37,953]-[log.py]-INFO:部门选择“销售”
[2018-06-18 11:04:38,438]-[log.py]-INFO:角色选择“销售”
[2018-06-18 11:04:39,004]-[log.py]-INFO:输入密码
[2018-06-18 11:04:39,509]-[log.py]-INFO:再次输入密码
[2018-06-18 11:04:40,327]-[log.py]-INFO:输入邮箱
[2018-06-18 11:04:40,974]-[log.py]-INFO:点击“提交”按钮
[2018-06-18 11:04:41,873]-[log.py]-INFO:退出“后台管理”框架
[2018-06-18 11:05:14,256]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-18 11:05:15,696]-[log.py]-INFO:成功选择简体中文
[2018-06-18 11:05:19,703]-[log.py]-INFO:输入用户名
[2018-06-18 11:05:20,178]-[log.py]-INFO:输入密码
[2018-06-18 11:05:20,521]-[log.py]-INFO:点击“保持登录”
[2018-06-18 11:05:20,863]-[log.py]-INFO:点击“登录”按钮
[2018-06-18 11:05:28,282]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-18 11:05:32,154]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-18 11:05:32,686]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-18 11:05:36,089]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-18 11:05:41,587]-[log.py]-INFO:输入“用户名”
[2018-06-18 11:05:41,928]-[log.py]-INFO:输入“真实姓名”
[2018-06-18 11:05:42,414]-[log.py]-INFO:性别选择“男”
[2018-06-18 11:05:42,863]-[log.py]-INFO:部门选择“销售”
[2018-06-18 11:05:43,378]-[log.py]-INFO:角色选择“销售”
[2018-06-18 11:05:43,934]-[log.py]-INFO:输入密码
[2018-06-18 11:05:44,393]-[log.py]-INFO:再次输入密码
[2018-06-18 11:05:45,159]-[log.py]-INFO:输入邮箱
[2018-06-18 11:05:45,759]-[log.py]-INFO:点击“提交”按钮
[2018-06-18 11:05:46,459]-[log.py]-INFO:退出“后台管理”框架
[2018-06-18 11:06:17,727]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-18 11:06:19,143]-[log.py]-INFO:成功选择简体中文
[2018-06-18 11:06:23,132]-[log.py]-INFO:输入用户名
[2018-06-18 11:06:23,601]-[log.py]-INFO:输入密码
[2018-06-18 11:06:23,919]-[log.py]-INFO:点击“保持登录”
[2018-06-18 11:06:24,255]-[log.py]-INFO:点击“登录”按钮
[2018-06-18 11:06:31,636]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-18 11:06:35,484]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-18 11:06:36,016]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-18 11:06:39,287]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-18 11:06:44,680]-[log.py]-INFO:输入“用户名”
[2018-06-18 11:06:45,193]-[log.py]-INFO:输入“真实姓名”
[2018-06-18 11:06:45,656]-[log.py]-INFO:性别选择“男”
[2018-06-18 11:06:46,111]-[log.py]-INFO:部门选择“销售”
[2018-06-18 11:06:46,574]-[log.py]-INFO:角色选择“销售”
[2018-06-18 11:06:46,990]-[log.py]-INFO:输入密码
[2018-06-18 11:06:47,463]-[log.py]-INFO:再次输入密码
[2018-06-18 11:06:48,212]-[log.py]-INFO:输入邮箱
[2018-06-18 11:06:48,830]-[log.py]-INFO:点击“提交”按钮
[2018-06-18 11:06:49,654]-[log.py]-INFO:退出“后台管理”框架
[2018-06-18 11:07:21,027]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-18 11:07:22,410]-[log.py]-INFO:成功选择简体中文
[2018-06-18 11:07:26,442]-[log.py]-INFO:输入用户名
[2018-06-18 11:07:26,888]-[log.py]-INFO:输入密码
[2018-06-18 11:07:27,186]-[log.py]-INFO:点击“保持登录”
[2018-06-18 11:07:27,515]-[log.py]-INFO:点击“登录”按钮
[2018-06-18 11:07:35,367]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-18 11:07:39,167]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-18 11:07:39,710]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-18 11:07:42,894]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-18 11:07:48,325]-[log.py]-INFO:输入“用户名”
[2018-06-18 11:07:48,866]-[log.py]-INFO:输入“真实姓名”
[2018-06-18 11:07:49,319]-[log.py]-INFO:性别选择“男”
[2018-06-18 11:07:49,814]-[log.py]-INFO:部门选择“销售”
[2018-06-18 11:07:50,301]-[log.py]-INFO:角色选择“销售”
[2018-06-18 11:07:50,841]-[log.py]-INFO:输入密码
[2018-06-18 11:07:51,350]-[log.py]-INFO:再次输入密码
[2018-06-18 11:07:51,697]-[log.py]-INFO:输入邮箱
[2018-06-18 11:07:52,336]-[log.py]-INFO:点击“提交”按钮
[2018-06-18 11:07:53,025]-[log.py]-INFO:退出“后台管理”框架
[2018-06-18 11:08:22,088]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-18 11:08:23,411]-[log.py]-INFO:成功选择简体中文
[2018-06-18 11:08:27,393]-[log.py]-INFO:输入用户名
[2018-06-18 11:08:27,877]-[log.py]-INFO:输入密码
[2018-06-18 11:08:28,183]-[log.py]-INFO:点击“保持登录”
[2018-06-18 11:08:28,519]-[log.py]-INFO:点击“登录”按钮
[2018-06-18 11:08:35,450]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/index.html
[2018-06-18 11:08:35,981]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-18 11:08:39,817]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-18 11:08:40,349]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-18 11:08:52,739]-[log.py]-INFO:user61在第2行显示N
[2018-06-18 11:08:56,311]-[log.py]-ERROR:user61处理OK！
[2018-06-18 11:08:56,314]-[log.py]-INFO:点击删除按钮，删除user61
[2018-06-18 11:09:01,377]-[log.py]-INFO:成功点击确定删除alert!
[2018-06-18 11:09:23,593]-[log.py]-INFO:成员列表中没有该用户user61，已被成功删除！
[2018-06-18 11:09:23,677]-[log.py]-INFO:当前页面的url为:http://localhost:81/ranzhi/www/sys/user-admin-0-normal--id_asc-22-10-3.html
[2018-06-18 11:09:24,089]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-18 11:09:27,876]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-18 11:09:28,392]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-18 11:09:50,780]-[log.py]-ERROR:user57处理OK！
[2018-06-18 11:09:50,783]-[log.py]-INFO:点击删除按钮，删除user57
[2018-06-18 11:42:02,082]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-18 11:42:03,539]-[log.py]-INFO:成功选择简体中文
[2018-06-18 11:42:07,548]-[log.py]-INFO:输入用户名
[2018-06-18 11:42:08,000]-[log.py]-INFO:输入密码
[2018-06-18 11:42:08,308]-[log.py]-INFO:点击“保持登录”
[2018-06-18 11:42:08,667]-[log.py]-INFO:点击“登录”按钮
[2018-06-18 11:42:15,994]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-18 11:42:19,920]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-18 11:42:20,462]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-18 11:42:23,575]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-18 11:42:28,770]-[log.py]-INFO:输入“用户名”
[2018-06-18 11:42:29,301]-[log.py]-INFO:输入“真实姓名”
[2018-06-18 11:42:29,758]-[log.py]-INFO:性别选择“女”
[2018-06-18 11:42:30,215]-[log.py]-INFO:部门选择“销售”
[2018-06-18 11:42:30,688]-[log.py]-INFO:角色选择“销售”
[2018-06-18 11:42:31,289]-[log.py]-INFO:输入密码
[2018-06-18 11:42:31,754]-[log.py]-INFO:再次输入密码
[2018-06-18 11:42:32,503]-[log.py]-INFO:输入邮箱
[2018-06-18 11:42:33,049]-[log.py]-INFO:点击“提交”按钮
[2018-06-18 11:42:33,789]-[log.py]-INFO:退出“后台管理”框架
[2018-06-18 11:43:04,468]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-18 11:43:05,854]-[log.py]-INFO:成功选择简体中文
[2018-06-18 11:43:09,890]-[log.py]-INFO:输入用户名
[2018-06-18 11:43:10,346]-[log.py]-INFO:输入密码
[2018-06-18 11:43:10,677]-[log.py]-INFO:点击“保持登录”
[2018-06-18 11:43:11,080]-[log.py]-INFO:点击“登录”按钮
[2018-06-18 11:43:18,252]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-18 11:43:22,192]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-18 11:43:22,738]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-18 11:43:26,017]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-18 11:43:31,452]-[log.py]-INFO:输入“用户名”
[2018-06-18 11:43:31,818]-[log.py]-INFO:输入“真实姓名”
[2018-06-18 11:43:32,276]-[log.py]-INFO:性别选择“男”
[2018-06-18 11:43:32,736]-[log.py]-INFO:部门选择“销售”
[2018-06-18 11:43:33,233]-[log.py]-INFO:角色选择“销售”
[2018-06-18 11:43:33,829]-[log.py]-INFO:输入密码
[2018-06-18 11:43:34,385]-[log.py]-INFO:再次输入密码
[2018-06-18 11:43:35,260]-[log.py]-INFO:输入邮箱
[2018-06-18 11:43:35,881]-[log.py]-INFO:点击“提交”按钮
[2018-06-18 11:43:36,621]-[log.py]-INFO:退出“后台管理”框架
[2018-06-18 11:48:33,987]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-18 11:48:35,421]-[log.py]-INFO:成功选择简体中文
[2018-06-18 11:48:39,518]-[log.py]-INFO:输入用户名
[2018-06-18 11:48:39,987]-[log.py]-INFO:输入密码
[2018-06-18 11:48:40,314]-[log.py]-INFO:点击“保持登录”
[2018-06-18 11:48:40,657]-[log.py]-INFO:点击“登录”按钮
[2018-06-18 11:48:48,750]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-18 11:48:52,667]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-18 11:48:53,214]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-18 11:48:56,364]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-18 11:49:01,678]-[log.py]-INFO:输入“用户名”
[2018-06-18 11:49:02,227]-[log.py]-INFO:输入“真实姓名”
[2018-06-18 11:49:02,716]-[log.py]-INFO:性别选择“女”
[2018-06-18 11:49:03,187]-[log.py]-INFO:部门选择“销售”
