[2018-05-29 10:34:27,511]-[log.py]-INFO:admin登录成功！
[2018-05-29 10:34:34,295]-[log.py]-INFO:user1登录成功！
[2018-05-29 10:34:51,148]-[log.py]-INFO:用户名为空登录失败！
[2018-05-29 10:34:56,074]-[log.py]-INFO:ad登录失败!
[2018-05-29 10:35:01,082]-[log.py]-INFO:user1登录失败!
[2018-05-29 10:35:06,029]-[log.py]-INFO:user1登录失败!
[2018-05-29 10:35:20,782]-[log.py]-INFO:切换简体成功！
[2018-05-29 10:35:22,395]-[log.py]-INFO:切换繁体成功！
[2018-05-29 10:35:24,195]-[log.py]-INFO:切换英文成功！
[2018-05-29 10:35:45,800]-[log.py]-INFO:登陆后切换繁体成功！
[2018-05-29 10:35:51,399]-[log.py]-INFO:登陆后切换English成功！
[2018-05-29 10:36:06,837]-[log.py]-INFO:成功进入我的地盘模块
[2018-05-29 10:36:09,537]-[log.py]-INFO:成功进入客户管理模块
[2018-05-29 10:36:12,109]-[log.py]-INFO:成功进入日常办公模块
[2018-05-29 10:36:14,766]-[log.py]-INFO:成功进入项目模块
[2018-05-29 10:36:17,314]-[log.py]-INFO:成功进入文档模块
[2018-05-29 10:36:19,869]-[log.py]-INFO:成功进入现金记账模块
[2018-05-29 10:36:22,608]-[log.py]-INFO:成功进入团队模块
[2018-05-29 10:36:25,384]-[log.py]-INFO:成功进入后台管理模块
[2018-05-29 10:37:30,013]-[log.py]-INFO:realname1123461添加失败！
[2018-05-29 10:37:36,816]-[log.py]-INFO:添加失败！
[2018-05-29 10:37:43,720]-[log.py]-INFO:realname1123463添加失败！
[2018-05-29 10:37:50,346]-[log.py]-INFO:realname1123464添加失败！
[2018-05-29 10:37:56,979]-[log.py]-INFO:realname1123465添加失败！
[2018-05-29 10:42:23,520]-[log.py]-INFO:admin登录成功！
[2018-05-29 10:42:30,996]-[log.py]-INFO:user1登录成功！
[2018-05-29 10:42:49,572]-[log.py]-INFO:用户名为空登录失败！
[2018-05-29 10:42:54,596]-[log.py]-INFO:ad登录失败!
[2018-05-29 10:43:08,650]-[log.py]-INFO:切换简体成功！
[2018-05-29 10:43:10,453]-[log.py]-INFO:切换繁体成功！
[2018-05-29 10:43:12,388]-[log.py]-INFO:切换英文成功！
[2018-05-29 10:43:33,082]-[log.py]-INFO:登陆后切换简体成功！
[2018-05-29 10:43:51,257]-[log.py]-INFO:成功进入我的地盘模块
[2018-05-29 10:43:54,121]-[log.py]-INFO:成功进入客户管理模块
[2018-05-29 10:43:56,986]-[log.py]-INFO:成功进入日常办公模块
[2018-05-29 10:43:59,872]-[log.py]-INFO:成功进入项目模块
[2018-05-29 10:44:02,629]-[log.py]-INFO:成功进入文档模块
[2018-05-29 10:44:05,502]-[log.py]-INFO:成功进入现金记账模块
[2018-05-29 10:44:08,267]-[log.py]-INFO:成功进入团队模块
[2018-05-29 10:44:10,951]-[log.py]-INFO:成功进入后台管理模块
[2018-05-29 10:45:14,758]-[log.py]-INFO:realname1123461添加失败！
[2018-05-29 10:45:21,064]-[log.py]-INFO:添加失败！
[2018-05-29 10:45:27,143]-[log.py]-INFO:realname1123463添加失败！
[2018-05-29 10:45:33,194]-[log.py]-INFO:realname1123464添加失败！
[2018-05-29 10:45:39,391]-[log.py]-INFO:realname1123465添加失败！
[2018-05-29 10:50:38,908]-[log.py]-INFO:admin登录成功！
[2018-05-29 10:50:46,097]-[log.py]-INFO:user1登录成功！
[2018-05-29 10:51:03,262]-[log.py]-INFO:用户名为空登录失败！
[2018-05-29 10:51:08,179]-[log.py]-INFO:ad登录失败!
[2018-05-29 10:51:13,102]-[log.py]-INFO:user1登录失败!
[2018-05-29 10:51:18,033]-[log.py]-INFO:user1登录失败!
[2018-05-29 10:51:32,883]-[log.py]-INFO:切换简体成功！
[2018-05-29 10:51:34,615]-[log.py]-INFO:切换繁体成功！
[2018-05-29 10:51:36,369]-[log.py]-INFO:切换英文成功！
[2018-05-29 10:51:58,109]-[log.py]-INFO:登陆后切换繁体成功！
