[2018-06-06 16:43:47,285]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 16:43:47,590]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 16:44:09,806]-[log.py]-INFO:邮件发送成功!
[2018-06-06 16:57:40,281]-[log.py]-INFO:邮件发送成功!
[2018-06-06 17:02:39,314]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 17:02:40,521]-[log.py]-INFO:成功选择简体中文
[2018-06-06 17:02:44,155]-[log.py]-INFO:输入用户名
[2018-06-06 17:02:44,425]-[log.py]-INFO:输入密码
[2018-06-06 17:02:44,594]-[log.py]-INFO:点击“保持登录”
[2018-06-06 17:02:44,794]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 17:02:50,114]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 17:02:53,669]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 17:02:53,975]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 17:03:15,642]-[log.py]-INFO:邮件发送成功!
[2018-06-06 17:06:09,658]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 17:06:11,735]-[log.py]-INFO:成功选择简体中文
[2018-06-06 17:06:15,290]-[log.py]-INFO:输入用户名
[2018-06-06 17:06:15,542]-[log.py]-INFO:输入密码
[2018-06-06 17:06:15,725]-[log.py]-INFO:点击“保持登录”
[2018-06-06 17:06:15,921]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 17:06:21,739]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 17:06:25,311]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 17:06:25,607]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 17:06:50,195]-[log.py]-INFO:邮件发送成功!
[2018-06-06 17:18:57,133]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 17:18:57,935]-[log.py]-INFO:成功选择简体中文
[2018-06-06 17:19:01,515]-[log.py]-INFO:输入用户名
[2018-06-06 17:19:01,764]-[log.py]-INFO:输入密码
[2018-06-06 17:19:01,918]-[log.py]-INFO:点击“保持登录”
[2018-06-06 17:19:02,113]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 17:19:07,437]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 17:19:10,959]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 17:19:11,239]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 17:19:35,570]-[log.py]-INFO:邮件发送成功!
[2018-06-06 17:25:00,019]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 17:25:00,898]-[log.py]-INFO:成功选择简体中文
[2018-06-06 17:25:04,545]-[log.py]-INFO:输入用户名
[2018-06-06 17:25:04,802]-[log.py]-INFO:输入密码
[2018-06-06 17:25:04,967]-[log.py]-INFO:点击“保持登录”
[2018-06-06 17:25:05,203]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 17:25:10,697]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 17:25:14,272]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 17:25:14,583]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 17:25:40,188]-[log.py]-INFO:邮件发送成功!
[2018-06-06 17:32:39,933]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 17:32:40,684]-[log.py]-INFO:成功选择简体中文
[2018-06-06 17:32:44,336]-[log.py]-INFO:输入用户名
[2018-06-06 17:32:44,613]-[log.py]-INFO:输入密码
[2018-06-06 17:32:44,807]-[log.py]-INFO:点击“保持登录”
[2018-06-06 17:32:45,004]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 17:32:50,352]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 17:32:53,907]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 17:32:54,245]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 17:33:19,472]-[log.py]-INFO:邮件发送成功!
[2018-06-06 17:35:24,158]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 17:35:24,921]-[log.py]-INFO:成功选择简体中文
[2018-06-06 17:35:28,533]-[log.py]-INFO:输入用户名
[2018-06-06 17:35:28,779]-[log.py]-INFO:输入密码
[2018-06-06 17:35:28,952]-[log.py]-INFO:点击“保持登录”
[2018-06-06 17:35:29,167]-[log.py]-INFO:点击“登录”按钮
