[2018-06-01 15:36:32,812]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-01 15:36:34,039]-[log.py]-INFO:成功选择简体中文
[2018-06-01 15:36:37,320]-[log.py]-INFO:输入用户名
[2018-06-01 15:36:37,586]-[log.py]-INFO:输入密码
[2018-06-01 15:36:37,761]-[log.py]-INFO:点击“保持登录”
[2018-06-01 15:36:38,071]-[log.py]-INFO:点击“登录”按钮
[2018-06-01 15:36:41,989]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-01 15:36:45,091]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-01 15:36:45,408]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-01 15:36:47,687]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-01 15:36:52,060]-[log.py]-INFO:输入“用户名”
[2018-06-01 15:36:52,338]-[log.py]-INFO:输入“真实姓名”
[2018-06-01 15:36:52,576]-[log.py]-INFO:性别选择“女”
[2018-06-01 15:36:52,874]-[log.py]-INFO:角色选择“销售”
[2018-06-01 15:36:53,164]-[log.py]-INFO:输入密码
[2018-06-01 15:36:53,446]-[log.py]-INFO:再次输入密码
[2018-06-01 15:36:53,906]-[log.py]-INFO:输入邮箱
[2018-06-01 15:36:54,332]-[log.py]-INFO:点击“提交”按钮
[2018-06-01 15:36:54,348]-[log.py]-INFO:退出“后台管理”框架
[2018-06-01 15:36:57,444]-[log.py]-INFO:进入“后台管理”框架
[2018-06-01 15:36:57,727]-[log.py]-INFO:成功获取到成员列表页面的所有用户名
[2018-06-01 15:36:57,736]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-01 15:36:57,748]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-01 15:36:57,750]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-01 15:36:57,752]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-01 15:36:57,754]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-01 15:36:57,755]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-01 15:36:57,757]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-01 15:36:57,773]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-01 15:36:57,775]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-01 15:36:57,777]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-01 15:36:57,778]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-01 15:36:57,780]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-01 15:36:57,782]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-01 15:36:57,994]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-01 15:37:01,062]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-01 15:37:01,372]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-01 15:37:03,648]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-01 15:37:07,906]-[log.py]-INFO:输入“用户名”
[2018-06-01 15:37:08,176]-[log.py]-INFO:输入“真实姓名”
[2018-06-01 15:37:08,447]-[log.py]-INFO:性别选择“女”
[2018-06-01 15:37:08,703]-[log.py]-INFO:角色选择“销售”
[2018-06-01 15:37:09,005]-[log.py]-INFO:输入密码
[2018-06-01 15:37:09,270]-[log.py]-INFO:再次输入密码
[2018-06-01 15:37:09,726]-[log.py]-INFO:输入邮箱
[2018-06-01 15:37:10,087]-[log.py]-INFO:点击“提交”按钮
[2018-06-01 15:37:10,116]-[log.py]-INFO:退出“后台管理”框架
[2018-06-01 15:37:13,186]-[log.py]-INFO:进入“后台管理”框架
[2018-06-01 15:37:13,459]-[log.py]-INFO:成功获取到成员列表页面的所有用户名
[2018-06-01 15:37:13,470]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-01 15:37:13,484]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-01 15:37:13,487]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-01 15:37:13,490]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-01 15:37:13,491]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-01 15:37:13,495]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-01 15:37:13,498]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-01 15:37:13,501]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-01 15:37:13,520]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-01 15:37:13,523]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-01 15:37:13,526]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-01 15:37:13,530]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-01 15:37:13,533]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-01 15:37:13,537]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-01 15:37:13,540]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-01 16:50:33,080]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-01 16:50:45,510]-[log.py]-INFO:成功选择简体中文
[2018-06-01 16:50:49,734]-[log.py]-INFO:输入用户名
[2018-06-01 16:50:50,035]-[log.py]-INFO:输入密码
[2018-06-01 16:50:50,229]-[log.py]-INFO:点击“保持登录”
[2018-06-01 16:50:50,481]-[log.py]-INFO:点击“登录”按钮
[2018-06-01 16:50:59,123]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-01 16:51:02,746]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-01 16:51:03,134]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-01 16:51:06,026]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-01 16:51:11,025]-[log.py]-INFO:输入“用户名”
[2018-06-01 16:51:11,351]-[log.py]-INFO:输入“真实姓名”
[2018-06-01 16:51:11,698]-[log.py]-INFO:性别选择“女”
