[2018-06-03 16:54:44,100]-[log.py]-INFO:输入密码
[2018-06-03 16:54:44,284]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:54:44,476]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:04:44,354]-[log.py]-INFO:输入用户名
[2018-06-03 17:04:44,751]-[log.py]-INFO:输入密码
[2018-06-03 17:04:45,057]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:04:45,352]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:10:07,017]-[log.py]-INFO:输入用户名
[2018-06-03 17:10:07,267]-[log.py]-INFO:输入密码
[2018-06-03 17:10:07,452]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:10:07,645]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:12:10,570]-[log.py]-INFO:输入用户名
[2018-06-03 17:12:10,850]-[log.py]-INFO:输入密码
[2018-06-03 17:12:11,049]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:12:11,257]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:17:12,461]-[log.py]-INFO:输入用户名
[2018-06-03 17:17:12,743]-[log.py]-INFO:输入密码
[2018-06-03 17:17:12,939]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:17:13,167]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:18:34,885]-[log.py]-INFO:输入用户名
[2018-06-03 17:18:35,148]-[log.py]-INFO:输入密码
[2018-06-03 17:18:35,326]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:18:35,528]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:20:04,549]-[log.py]-INFO:输入用户名
[2018-06-03 17:20:04,869]-[log.py]-INFO:输入密码
[2018-06-03 17:20:05,098]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:20:05,331]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:21:54,670]-[log.py]-INFO:输入用户名
[2018-06-03 17:21:54,938]-[log.py]-INFO:输入密码
[2018-06-03 17:21:55,108]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:21:55,309]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:23:24,705]-[log.py]-INFO:输入用户名
[2018-06-03 17:23:24,976]-[log.py]-INFO:输入密码
[2018-06-03 17:23:25,158]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:23:25,359]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:24:16,209]-[log.py]-INFO:输入用户名
[2018-06-03 17:24:16,469]-[log.py]-INFO:输入密码
[2018-06-03 17:24:16,644]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:24:16,829]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:27:15,642]-[log.py]-INFO:输入用户名
[2018-06-03 17:27:15,989]-[log.py]-INFO:输入密码
[2018-06-03 17:27:16,217]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:27:16,434]-[log.py]-INFO:点击“登录”按钮
