[2018-06-11 00:26:14,947]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-11 00:26:16,219]-[log.py]-INFO:成功选择简体中文
[2018-06-11 00:26:20,353]-[log.py]-INFO:输入用户名
[2018-06-11 00:26:20,733]-[log.py]-INFO:输入密码
[2018-06-11 00:26:21,012]-[log.py]-INFO:点击“保持登录”
[2018-06-11 00:26:21,346]-[log.py]-INFO:点击“登录”按钮
[2018-06-11 00:26:28,328]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-11 00:26:32,236]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-11 00:26:32,839]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-11 00:26:36,115]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-11 00:26:41,074]-[log.py]-INFO:输入“用户名”
[2018-06-11 00:26:41,639]-[log.py]-INFO:输入“真实姓名”
[2018-06-11 00:26:42,124]-[log.py]-INFO:性别选择“女”
[2018-06-11 00:26:42,782]-[log.py]-INFO:部门选择“销售”
[2018-06-11 00:26:43,095]-[log.py]-INFO:角色选择“销售”
[2018-06-11 00:26:43,556]-[log.py]-INFO:输入密码
[2018-06-11 00:26:43,949]-[log.py]-INFO:再次输入密码
[2018-06-11 00:26:44,526]-[log.py]-INFO:输入邮箱
[2018-06-11 00:26:46,188]-[log.py]-INFO:点击“提交”按钮
[2018-06-11 00:26:46,818]-[log.py]-INFO:退出“后台管理”框架
[2018-06-11 00:27:10,149]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-11 00:27:11,277]-[log.py]-INFO:成功选择简体中文
[2018-06-11 00:27:15,367]-[log.py]-INFO:输入用户名
[2018-06-11 00:27:15,746]-[log.py]-INFO:输入密码
[2018-06-11 00:27:15,971]-[log.py]-INFO:点击“保持登录”
[2018-06-11 00:27:16,328]-[log.py]-INFO:点击“登录”按钮
[2018-06-11 00:27:22,409]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-11 00:27:26,086]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-11 00:27:26,419]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-11 00:27:29,594]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-11 00:27:35,419]-[log.py]-INFO:输入“用户名”
[2018-06-11 00:27:35,683]-[log.py]-INFO:输入“真实姓名”
[2018-06-11 00:27:36,080]-[log.py]-INFO:性别选择“男”
[2018-06-11 00:27:36,418]-[log.py]-INFO:部门选择“销售”
[2018-06-11 00:27:36,802]-[log.py]-INFO:角色选择“销售”
[2018-06-11 00:27:37,243]-[log.py]-INFO:输入密码
[2018-06-11 00:27:37,699]-[log.py]-INFO:再次输入密码
[2018-06-11 00:27:38,316]-[log.py]-INFO:输入邮箱
[2018-06-11 00:27:39,059]-[log.py]-INFO:点击“提交”按钮
[2018-06-11 00:27:39,618]-[log.py]-INFO:退出“后台管理”框架
[2018-06-11 00:28:01,310]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-11 00:28:02,480]-[log.py]-INFO:成功选择简体中文
[2018-06-11 00:28:06,230]-[log.py]-INFO:输入用户名
[2018-06-11 00:28:06,585]-[log.py]-INFO:输入密码
[2018-06-11 00:28:06,971]-[log.py]-INFO:点击“保持登录”
[2018-06-11 00:28:07,281]-[log.py]-INFO:点击“登录”按钮
[2018-06-11 00:28:13,202]-[log.py]-INFO:成功点击“后台管理”按钮
