[2018-06-05 09:46:05,644]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-05 09:46:12,154]-[log.py]-INFO:成功选择简体中文
[2018-06-05 09:46:15,827]-[log.py]-INFO:输入用户名
[2018-06-05 09:46:16,043]-[log.py]-INFO:输入密码
[2018-06-05 09:46:16,199]-[log.py]-INFO:点击“保持登录”
[2018-06-05 09:46:16,408]-[log.py]-INFO:点击“登录”按钮
[2018-06-05 09:47:58,291]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-05 09:47:58,969]-[log.py]-INFO:成功选择简体中文
[2018-06-05 09:48:02,527]-[log.py]-INFO:输入用户名
[2018-06-05 09:48:02,718]-[log.py]-INFO:输入密码
[2018-06-05 09:48:02,862]-[log.py]-INFO:点击“保持登录”
[2018-06-05 09:48:03,019]-[log.py]-INFO:点击“登录”按钮
[2018-06-05 09:51:46,074]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-05 09:51:46,835]-[log.py]-INFO:成功选择简体中文
[2018-06-05 09:51:50,397]-[log.py]-INFO:输入用户名
[2018-06-05 09:51:50,593]-[log.py]-INFO:输入密码
[2018-06-05 09:51:50,762]-[log.py]-INFO:点击“保持登录”
[2018-06-05 09:51:50,916]-[log.py]-INFO:点击“登录”按钮
[2018-06-05 09:53:13,506]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-05 09:53:14,518]-[log.py]-INFO:成功选择简体中文
[2018-06-05 09:53:18,116]-[log.py]-INFO:输入用户名
[2018-06-05 09:53:18,333]-[log.py]-INFO:输入密码
[2018-06-05 09:53:18,487]-[log.py]-INFO:点击“保持登录”
[2018-06-05 09:53:18,652]-[log.py]-INFO:点击“登录”按钮
[2018-06-05 09:54:09,781]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-05 09:54:10,423]-[log.py]-INFO:成功选择简体中文
[2018-06-05 09:54:13,988]-[log.py]-INFO:输入用户名
[2018-06-05 09:54:14,214]-[log.py]-INFO:输入密码
[2018-06-05 09:54:14,353]-[log.py]-INFO:点击“保持登录”
[2018-06-05 09:54:14,528]-[log.py]-INFO:点击“登录”按钮
[2018-06-05 09:54:55,110]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-05 09:54:55,808]-[log.py]-INFO:成功选择简体中文
[2018-06-05 09:54:59,367]-[log.py]-INFO:输入用户名
[2018-06-05 09:54:59,586]-[log.py]-INFO:输入密码
[2018-06-05 09:54:59,726]-[log.py]-INFO:点击“保持登录”
[2018-06-05 09:54:59,891]-[log.py]-INFO:点击“登录”按钮
[2018-06-05 09:55:49,652]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-05 09:55:50,290]-[log.py]-INFO:成功选择简体中文
[2018-06-05 09:55:53,844]-[log.py]-INFO:输入用户名
[2018-06-05 09:55:54,047]-[log.py]-INFO:输入密码
[2018-06-05 09:55:54,195]-[log.py]-INFO:点击“保持登录”
[2018-06-05 09:55:54,361]-[log.py]-INFO:点击“登录”按钮
[2018-06-05 09:56:33,036]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-05 09:56:34,872]-[log.py]-INFO:成功选择简体中文
[2018-06-05 09:56:38,457]-[log.py]-INFO:输入用户名
[2018-06-05 09:56:38,670]-[log.py]-INFO:输入密码
[2018-06-05 09:56:38,806]-[log.py]-INFO:点击“保持登录”
[2018-06-05 09:56:38,963]-[log.py]-INFO:点击“登录”按钮
[2018-06-05 17:49:44,050]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-05 17:49:44,921]-[log.py]-INFO:成功选择简体中文
[2018-06-05 17:49:48,497]-[log.py]-INFO:输入用户名
[2018-06-05 17:49:48,688]-[log.py]-INFO:输入密码
[2018-06-05 17:49:48,822]-[log.py]-INFO:点击“保持登录”
[2018-06-05 17:49:49,006]-[log.py]-INFO:点击“登录”按钮
[2018-06-05 17:49:54,024]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-05 17:49:57,533]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-05 17:49:57,741]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-05 17:50:00,343]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-05 17:50:05,261]-[log.py]-INFO:输入“用户名”
