[2018-06-27 10:19:42,817]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-27 10:19:45,016]-[log.py]-INFO:成功选择简体中文
[2018-06-27 10:19:48,916]-[log.py]-INFO:输入用户名
[2018-06-27 10:19:49,197]-[log.py]-INFO:输入密码
[2018-06-27 10:19:49,349]-[log.py]-INFO:点击“保持登录”
[2018-06-27 10:19:49,553]-[log.py]-INFO:点击“登录”按钮
[2018-06-27 10:19:56,380]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-27 10:19:59,919]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-27 10:20:00,159]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-27 10:20:02,815]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-27 10:20:07,409]-[log.py]-INFO:输入“用户名”
[2018-06-27 10:20:08,301]-[log.py]-INFO:输入“真实姓名”
[2018-06-27 10:20:08,546]-[log.py]-INFO:性别选择“女”
[2018-06-27 10:20:08,761]-[log.py]-INFO:部门选择“销售”
[2018-06-27 10:20:08,980]-[log.py]-INFO:角色选择“销售”
[2018-06-27 10:20:09,257]-[log.py]-INFO:输入密码
[2018-06-27 10:20:09,469]-[log.py]-INFO:再次输入密码
[2018-06-27 10:20:09,842]-[log.py]-INFO:输入邮箱
[2018-06-27 10:20:10,336]-[log.py]-INFO:点击“提交”按钮
[2018-06-27 10:20:10,883]-[log.py]-INFO:退出“后台管理”框架
[2018-06-27 10:20:12,953]-[log.py]-INFO:进入框架
[2018-06-27 10:20:13,085]-[log.py]-INFO:退出框架
[2018-06-27 10:20:13,088]-[log.py]-INFO:[用户名]为空，错误提示信息正确！
[2018-06-27 10:20:30,227]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-27 10:20:31,392]-[log.py]-INFO:成功选择简体中文
[2018-06-27 10:20:34,994]-[log.py]-INFO:输入用户名
[2018-06-27 10:20:35,214]-[log.py]-INFO:输入密码
[2018-06-27 10:20:35,348]-[log.py]-INFO:点击“保持登录”
[2018-06-27 10:20:35,507]-[log.py]-INFO:点击“登录”按钮
[2018-06-27 10:20:41,390]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-27 10:20:44,909]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-27 10:20:45,132]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-27 10:20:47,816]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-27 10:20:52,452]-[log.py]-INFO:输入“用户名”
[2018-06-27 10:20:52,600]-[log.py]-INFO:输入“真实姓名”
[2018-06-27 10:20:52,803]-[log.py]-INFO:性别选择“男”
[2018-06-27 10:20:53,012]-[log.py]-INFO:部门选择“销售”
[2018-06-27 10:20:53,240]-[log.py]-INFO:角色选择“销售”
[2018-06-27 10:20:53,480]-[log.py]-INFO:输入密码
[2018-06-27 10:20:53,689]-[log.py]-INFO:再次输入密码
[2018-06-27 10:20:54,010]-[log.py]-INFO:输入邮箱
[2018-06-27 10:20:54,261]-[log.py]-INFO:点击“提交”按钮
[2018-06-27 10:20:54,716]-[log.py]-INFO:退出“后台管理”框架
[2018-06-27 10:20:56,788]-[log.py]-INFO:进入框架
[2018-06-27 10:21:06,905]-[log.py]-INFO:退出框架
[2018-06-27 10:21:06,908]-[log.py]-INFO:[真实姓名]为空，错误提示信息正确！
[2018-06-27 10:21:21,764]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-27 10:21:23,271]-[log.py]-INFO:成功选择简体中文
[2018-06-27 10:21:26,857]-[log.py]-INFO:输入用户名
[2018-06-27 10:21:27,063]-[log.py]-INFO:输入密码
[2018-06-27 10:21:27,201]-[log.py]-INFO:点击“保持登录”
[2018-06-27 10:21:27,362]-[log.py]-INFO:点击“登录”按钮
[2018-06-27 10:21:32,356]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-27 10:21:35,941]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-27 10:21:36,166]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-27 10:21:38,871]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-27 10:21:43,522]-[log.py]-INFO:输入“用户名”
[2018-06-27 10:21:43,730]-[log.py]-INFO:输入“真实姓名”
[2018-06-27 10:21:43,925]-[log.py]-INFO:性别选择“男”
[2018-06-27 10:21:44,138]-[log.py]-INFO:部门选择“销售”
[2018-06-27 10:21:44,370]-[log.py]-INFO:角色选择“销售”
[2018-06-27 10:21:44,568]-[log.py]-INFO:输入密码
[2018-06-27 10:21:44,787]-[log.py]-INFO:再次输入密码
[2018-06-27 10:21:45,118]-[log.py]-INFO:输入邮箱
[2018-06-27 10:21:45,362]-[log.py]-INFO:点击“提交”按钮
[2018-06-27 10:21:45,808]-[log.py]-INFO:退出“后台管理”框架
[2018-06-27 10:21:47,904]-[log.py]-INFO:进入框架
[2018-06-27 10:21:47,995]-[log.py]-INFO:退出框架
[2018-06-27 10:22:03,111]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-27 10:22:05,297]-[log.py]-INFO:成功选择简体中文
[2018-06-27 10:22:08,881]-[log.py]-INFO:输入用户名
[2018-06-27 10:22:09,085]-[log.py]-INFO:输入密码
[2018-06-27 10:22:09,234]-[log.py]-INFO:点击“保持登录”
[2018-06-27 10:22:09,396]-[log.py]-INFO:点击“登录”按钮
[2018-06-27 10:22:14,515]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-27 10:22:18,058]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-27 10:22:18,287]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-27 10:22:20,964]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-27 10:22:25,635]-[log.py]-INFO:输入“用户名”
[2018-06-27 10:22:25,853]-[log.py]-INFO:输入“真实姓名”
[2018-06-27 10:22:26,052]-[log.py]-INFO:性别选择“男”
[2018-06-27 10:22:26,267]-[log.py]-INFO:部门选择“销售”
[2018-06-27 10:22:26,499]-[log.py]-INFO:角色选择“销售”
[2018-06-27 10:22:26,725]-[log.py]-INFO:输入密码
[2018-06-27 10:22:26,930]-[log.py]-INFO:再次输入密码
[2018-06-27 10:22:27,087]-[log.py]-INFO:输入邮箱
[2018-06-27 10:22:27,408]-[log.py]-INFO:点击“提交”按钮
